11:
16049295
Elapsed time: 41625ms




(10,610782)
(11,563784)
(12,521614)
(13,483201)
(14,449917)
(15,418352)
(16,392846)
(17,363883)
(18,348789)
(19,332804)
(20,303472)
(21,285089)
(22,268606)
(23,249665)
(24,234550)
(25,222433)
(26,209673)
(27,198796)
(28,178710)
(29,168848)
(30,159255)
(31,151777)
(32,150437)
(33,131736)
(34,118312)
(35,122414)
(36,104584)
(37,98099)
(38,90296)
(39,86869)
(40,77188)
(41,73572)
(42,77830)
(43,65475)
(44,63291)
(45,57547)
(46,49756)
(47,51556)
(48,43330)
(49,43357)
(50,38303)
(51,36337)
(52,33534)
(53,31361)
(54,28606)
(55,37390)
(56,24169)
(57,24632)
(58,21205)
(59,21209)
(60,19106)
(61,18226)
(62,18016)
(63,16661)
(64,16370)
(65,14703)
(66,14276)
(67,12729)
(68,11645)
(69,11325)
(70,21678)
(71,11133)
(72,11196)
(73,9183)
(74,8758)
(75,10667)
(76,7967)
(77,7591)
(78,7516)
(79,7528)
(80,6779)
(81,6921)
(82,6399)
(83,6175)
(84,5343)
(85,14839)
(86,5017)
(87,6358)
(88,4646)
(89,4601)
(90,4714)
(91,4356)
(92,4443)
(93,4049)
(94,3736)
(95,3887)
(96,3401)
(97,3331)
(98,3204)
(99,3365)
(100,3632)
(101,2976)
(102,3013)
(103,3510)
(104,3529)
(105,2260)
(106,3047)
(107,2231)
(108,2482)
(109,2462)
(110,1972)
(111,2008)
(112,1729)
(113,1886)
(114,1705)
(115,1739)
(116,1900)
(117,1435)
(118,1586)
(119,1308)
(120,1356)
(121,1573)
(122,1346)
(123,1825)
(124,1189)
(125,1223)
(126,1957)
(127,1132)
(128,1268)
(129,1243)
(130,1165)
(131,1047)
(132,985)
(133,1038)
(134,988)
(135,996)
(136,981)
(137,818)
(138,826)
(139,984)
(140,875)
(141,874)
(142,836)
(143,788)
(144,685)
(145,683)
(146,668)
(147,710)
(148,685)
(149,671)
(150,621)
(151,606)
(152,939)
(153,501)
(154,567)
(155,549)
(156,1200)
(157,1565)
(158,533)
(159,453)
(160,530)
(161,450)
(162,588)
(163,416)
(164,397)
(165,372)
(166,419)
(167,483)
(168,503)
(169,405)
(170,367)
(171,356)
(172,364)
(173,348)
(174,375)
(175,391)
(176,292)
(177,320)
(178,354)
(179,320)
(180,305)
(181,290)
(182,265)
(183,297)
(184,308)
(185,329)
(186,274)
(187,246)
(188,319)
(189,228)
(190,259)
(191,255)
(192,267)
(193,238)
(194,242)
(195,231)
(196,229)
(197,232)
(198,314)
(199,206)
(200,191)
(201,227)
(202,199)
(203,194)
(204,211)
(205,185)
(206,212)
(207,220)
(208,160)
(209,219)
(210,143)
(211,198)
(212,170)
(213,170)
(214,154)
(215,123)
(216,161)
(217,169)
(218,193)
(219,140)
(220,146)
(221,122)
(222,162)
(223,160)
(224,106)
(225,414)
(226,158)
(227,128)
(228,114)
(229,113)
(230,191)
(231,113)
(232,107)
(233,134)
(234,92)
(235,113)
(236,132)
(237,129)
(238,103)
(239,112)
(240,98)
(241,93)
(242,98)
(243,110)
(244,82)
(245,106)
(246,126)
(247,97)
(248,70)
(249,82)
(250,78)
(251,122)
(252,84)
(253,67)
(254,333)
(255,87)
(256,57)
(257,78)
(258,60)
(259,113)
(260,74)
(261,78)
(262,118)
(263,56)
(264,66)
(265,61)
(266,68)
(267,77)
(268,80)
(269,68)
(270,108)
(271,52)
(272,72)
(273,88)
(274,44)
(275,65)
(276,81)
(277,57)
(278,45)
(279,86)
(280,65)
(281,55)
(282,46)
(283,49)
(284,73)
(285,68)
(286,60)
(287,56)
(288,54)
(289,47)
(290,50)
(291,39)
(292,54)
(293,50)
(294,57)
(295,50)
(296,54)
(297,28)
(298,35)
(299,34)
(300,37)
(301,51)
(302,53)
(303,41)
(304,42)
(305,36)
(306,45)
(307,41)
(308,39)
(309,37)
(310,37)
(311,40)
(312,32)
(313,41)
(314,49)
(315,35)
(316,44)
(317,29)
(318,48)
(319,36)
(320,35)
(321,27)
(322,43)
(323,52)
(324,36)
(325,39)
(326,31)
(327,45)
(328,58)
(329,37)
(330,38)
(331,23)
